Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Customer_Type,Age_Group,Gender,City,State,Region,Sales_Executive,Product_ID,Category,Sub Category,Product_Name,Unit_Price,Quantity,Discount Percentage,Sales,Cost,Profit,Payment_Mode,Delivery_Days,Customer Rating,Returned
ORD101634,15-May-24,18-May-24,C1041,Customer 42,New,36-45,Male,Visakhapatnam,Andhra Pradesh,South,Executive 2,P1106,Fashion,Watch,Watch Model 2,44252,4,10,159307.2,146931.48,"$12,375.72",Net Banking,6,3,Yes
ORD101662,04-Apr-25,11-Apr-25,C1005,Customer 6,Returning,46-60,Male,Bhopal,Madhya Pradesh,West,Executive 19,P1106,Fashion,Watch,Watch Model 2,26307,7,40,110489.4,165448.15,"($54,958.75)",UPI,12,3,Yes
ORD101972,17-Nov-24,26-Nov-24,C1038,Customer 39,New,26-35,Male,Ludhiana,Punjab,North,Executive 18,P1107,Fashion,Watch,Watch Model 3,46935,7,0,328545,179118.7,"$1,49,426.3",Credit Card,9,3,No
ORD101994,29-May-25,31-May-25,C1041,Customer 42,New,18-25,Female,New Delhi,Delhi,North,Executive 6,P1105,Fashion,Watch,Watch Model 1,22631,8,40,108628.8,153449.15,"($44,820.35)",Net Banking,4,3,No
ORD102025,22-Jul-24,31-Jul-24,C1023,Customer 24,Returning,26-35,Male,Visakhapatnam,Andhra Pradesh,South,Executive 8,P1105,Fashion,Watch,Watch Model 1,39476,7,20,221065.6,259533.24,"($38,467.64)",UPI,12,3,Yes
ORD102065,14-May-24,21-May-24,C1040,Customer 41,Returning,46-60,Female,Bhopal,Madhya Pradesh,West,Executive 7,P1107,Fashion,Watch,Watch Model 3,14792,3,35,28844.4,22915.3,"$5,929.1",Net Banking,2,3,No
ORD102103,26-May-25,27-May-25,C1012,Customer 13,Returning,46-60,Female,Gurugram,Haryana,North,Executive 3,P1106,Fashion,Watch,Watch Model 2,18862,3,30,39610.2,33064.3,"$6,545.9",Cash,6,3,No
ORD102157,17-Sep-24,18-Sep-24,C1029,Customer 30,New,36-45,Female,Ludhiana,Punjab,North,Executive 20,P1112,Fashion,Watch,Watch Model 8,2952,2,0,4132.8,3112.59,"$1,020.21",Credit Card,3,3,No
ORD102210,03-Aug-25,09-Aug-25,C1020,Customer 21,Returning,18-25,Female,Hyderabad,Telangana,South,Executive 3,P1108,Fashion,Watch,Watch Model 4,44228,3,10,119415.6,68347.97,"$51,067.63",Net Banking,11,3,Yes
ORD102596,22-Oct-25,28-Oct-25,C1034,Customer 35,New,26-35,Female,Gurugram,Haryana,North,Executive 7,P1111,Fashion,Watch,Watch Model 7,19595,4,0,54866,51532.89,"$3,333.11",Credit Card,2,3,No
ORD102658,21-Dec-25,23-Dec-25,C1039,Customer 40,New,46-60,Male,Nagpur,Maharashtra,West,Executive 17,P1110,Fashion,Watch,Watch Model 6,44543,1,30,31180.1,38845.47,"($7,665.37)",UPI,5,3,Yes
ORD102862,29-Dec-24,05-Jan-25,C1011,Customer 12,Returning,18-25,Male,Bhubaneswar,Odisha,East,Executive 15,P1108,Fashion,Watch,Watch Model 4,42361,9,0,381249,325463.99,"$55,785.01",Cash,1,3,No
ORD102930,17-Apr-24,23-Apr-24,C1000,Customer 1,Returning,36-45,Female,Guwahati,Assam,East,Executive 3,P1112,Fashion,Watch,Watch Model 8,36722,1,30,25705.4,26835.93,"($1,130.53)",Credit Card,1,3,Yes
ORD103040,07-Apr-25,16-Apr-25,C1045,Customer 46,New,36-45,Female,Noida,Uttar Pradesh,North,Executive 18,P1110,Fashion,Watch,Watch Model 6,20529,8,30,114962.4,112985.37,"$1,977.03",Cash,11,3,No
ORD103064,21-Oct-24,28-Oct-24,C1011,Customer 12,New,18-25,Female,Patna,Bihar,East,Executive 2,P1107,Fashion,Watch,Watch Model 3,10856,1,40,6513.6,6096.8,$416.8,UPI,3,3,Yes
ORD103143,02-Jun-25,12-Jun-25,C1036,Customer 37,New,18-25,Female,Visakhapatnam,Andhra Pradesh,South,Executive 4,P1106,Fashion,Watch,Watch Model 2,21888,1,5,20793.6,19293.14,"$1,500.46",UPI,8,3,No
ORD103227,21-Sep-24,25-Sep-24,C1007,Customer 8,Returning,36-45,Male,Chennai,Tamil Nadu,South,Executive 7,P1112,Fashion,Watch,Watch Model 8,24163,7,20,135312.8,139157.95,"($3,845.15)",Credit Card,12,3,No
ORD103326,12-Feb-25,13-Feb-25,C1036,Customer 37,Returning,46-60,Male,Mysuru,Karnataka,South,Executive 5,P1109,Fashion,Watch,Watch Model 5,19171,7,25,100647.75,97415.81,"$3,231.94",Net Banking,3,3,No
ORD103344,08-Dec-25,14-Dec-25,C1009,Customer 10,Returning,18-25,Female,Visakhapatnam,Andhra Pradesh,South,Executive 11,P1111,Fashion,Watch,Watch Model 7,19746,7,40,82933.2,94966.46,"($12,033.26)",Net Banking,7,3,No
ORD103430,25-Apr-25,05-May-25,C1045,Customer 46,New,36-45,Female,Kochi,Kerala,South,Executive 16,P1112,Fashion,Watch,Watch Model 8,48391,7,50,169368.5,284486.1,"($1,15,117.6)",Net Banking,3,3,Yes
ORD103686,03-Feb-24,05-Feb-24,C1010,Customer 11,New,36-45,Male,Chennai,Tamil Nadu,South,Executive 17,P1112,Fashion,Watch,Watch Model 8,35236,7,30,172656.4,174074.63,"($1,418.23)",Cash,7,3,No
ORD103747,13-Jul-24,16-Jul-24,C1017,Customer 18,Returning,18-25,Male,Nagpur,Maharashtra,West,Executive 4,P1110,Fashion,Watch,Watch Model 6,10005,2,50,10005,14689.25,"($4,684.25)",Net Banking,5,3,No
ORD103765,10-Nov-25,19-Nov-25,C1006,Customer 7,Returning,36-45,Male,Noida,Uttar Pradesh,North,Executive 12,P1107,Fashion,Watch,Watch Model 3,27468,4,35,71416.8,57132.6,"$14,284.2",UPI,11,3,Yes
ORD103769,04-Oct-24,09-Oct-24,C1038,Customer 39,Returning,46-60,Female,Patna,Bihar,East,Executive 12,P1110,Fashion,Watch,Watch Model 6,4457,3,15,11365.35,8440.83,"$2,924.52",UPI,2,3,Yes
ORD103949,29-Dec-25,08-Jan-26,C1041,Customer 42,Returning,18-25,Female,Visakhapatnam,Andhra Pradesh,South,Executive 16,P1105,Fashion,Watch,Watch Model 1,15930,1,5,15133.5,12227.3,"$2,906.2",UPI,2,3,No
ORD103951,24-Jan-25,27-Jan-25,C1041,Customer 42,New,18-25,Male,Hyderabad,Telangana,South,Executive 7,P1111,Fashion,Watch,Watch Model 7,24222,3,50,36333,68158.1,"($31,825.1)",Net Banking,3,3,Yes
ORD104179,21-Apr-24,28-Apr-24,C1030,Customer 31,New,36-45,Male,Ranchi,Jharkhand,East,Executive 5,P1111,Fashion,Watch,Watch Model 7,32095,9,30,202198.5,239959.38,"($37,760.88)",Net Banking,9,3,Yes
ORD104205,20-Jun-25,25-Jun-25,C1018,Customer 19,New,26-35,Male,Ranchi,Jharkhand,East,Executive 3,P1110,Fashion,Watch,Watch Model 6,2943,10,30,20601,17072.42,"$3,528.58",Credit Card,10,3,No
ORD104215,07-Jan-25,10-Jan-25,C1022,Customer 23,Returning,36-45,Male,Gurugram,Haryana,North,Executive 2,P1111,Fashion,Watch,Watch Model 7,19554,4,15,66483.6,68391.44,"($1,907.84)",UPI,6,3,Yes
ORD104232,30-Jul-24,01-Aug-24,C1040,Customer 41,New,26-35,Male,Kolkata,West Bengal,East,Executive 5,P1112,Fashion,Watch,Watch Model 8,21455,3,40,38619,34948.65,"$3,670.35",UPI,8,3,No
ORD104274,06-Oct-24,10-Oct-24,C1020,Customer 21,New,26-35,Male,Surat,Gujarat,West,Executive 16,P1106,Fashion,Watch,Watch Model 2,29710,2,10,53478,53098.5,$379.5,Cash,11,3,Yes
ORD104522,12-Apr-25,22-Apr-25,C1021,Customer 22,Returning,46-60,Female,Ranchi,Jharkhand,East,Executive 13,P1112,Fashion,Watch,Watch Model 8,8153,3,5,23236.05,20057.8,"$3,178.25",Net Banking,12,3,No
ORD104552,05-Sep-25,09-Sep-25,C1024,Customer 25,New,46-60,Female,Coimbatore,Tamil Nadu,South,Executive 7,P1105,Fashion,Watch,Watch Model 1,16536,7,10,104176.8,87483.99,"$16,692.81",UPI,6,3,No
ORD104708,17-Sep-25,23-Sep-25,C1021,Customer 22,Returning,18-25,Male,Bhubaneswar,Odisha,East,Executive 4,P1110,Fashion,Watch,Watch Model 6,5760,10,50,28800,48102.78,"($19,302.78)",Cash,10,3,Yes
ORD104732,03-Jan-24,06-Jan-24,C1036,Customer 37,Returning,36-45,Male,Kochi,Kerala,South,Executive 20,P1109,Fashion,Watch,Watch Model 5,45428,9,35,265753.8,327562.5,"($61,808.7)",Credit Card,4,3,Yes
ORD104835,21-Dec-25,22-Dec-25,C1034,Customer 35,New,46-60,Male,Gurugram,Haryana,North,Executive 16,P1111,Fashion,Watch,Watch Model 7,5915,3,20,14196,9900.65,"$4,295.35",UPI,5,3,Yes
ORD104876,11-Oct-25,19-Oct-25,C1041,Customer 42,New,36-45,Male,Kochi,Kerala,South,Executive 4,P1111,Fashion,Watch,Watch Model 7,16038,2,40,19245.6,24730.31,"($5,484.71)",Credit Card,8,3,Yes
ORD104984,21-Aug-24,29-Aug-24,C1018,Customer 19,New,46-60,Female,Raipur,Chhattisgarh,West,Executive 9,P1106,Fashion,Watch,Watch Model 2,24016,3,5,68445.6,46675.45,"$21,770.15",Net Banking,3,3,No
ORD105129,28-Aug-24,03-Sep-24,C1016,Customer 17,New,36-45,Female,Pune,Maharashtra,West,Executive 8,P1106,Fashion,Watch,Watch Model 2,16386,3,20,39326.4,37858.37,"$1,468.03",Cash,12,3,No
ORD105147,06-May-25,12-May-25,C1031,Customer 32,Returning,26-35,Female,Raipur,Chhattisgarh,West,Executive 10,P1106,Fashion,Watch,Watch Model 2,15955,5,10,71797.5,57890.32,"$13,907.18",Cash,4,3,No
ORD105155,26-Aug-25,29-Aug-25,C1029,Customer 30,New,46-60,Female,Hyderabad,Telangana,South,Executive 17,P1111,Fashion,Watch,Watch Model 7,37816,1,15,32143.6,19426.76,"$12,716.84",UPI,5,3,Yes
ORD105252,08-May-25,18-May-25,C1003,Customer 4,Returning,18-25,Female,Coimbatore,Tamil Nadu,South,Executive 12,P1110,Fashion,Watch,Watch Model 6,30136,4,40,72326.4,113201.98,"($40,875.58)",Net Banking,12,3,Yes
ORD105288,20-Sep-25,22-Sep-25,C1009,Customer 10,Returning,26-35,Female,Ranchi,Jharkhand,East,Executive 18,P1109,Fashion,Watch,Watch Model 5,44988,5,15,191199,131953.68,"$59,245.32",UPI,5,3,Yes
ORD105686,01-Oct-24,04-Oct-24,C1023,Customer 24,New,36-45,Male,Noida,Uttar Pradesh,North,Executive 5,P1109,Fashion,Watch,Watch Model 5,43967,3,0,131901,82136.83,"$49,764.17",UPI,12,3,Yes
ORD105734,12-Apr-25,17-Apr-25,C1024,Customer 25,New,36-45,Female,Bhubaneswar,Odisha,East,Executive 9,P1106,Fashion,Watch,Watch Model 2,42682,6,40,153655.2,233444.49,"($79,789.29)",UPI,4,3,Yes
ORD105844,22-Sep-24,27-Sep-24,C1033,Customer 34,New,46-60,Male,Noida,Uttar Pradesh,North,Executive 6,P1107,Fashion,Watch,Watch Model 3,12022,6,0,72132,45561.92,"$26,570.08",UPI,9,3,No
ORD105932,09-Oct-24,10-Oct-24,C1000,Customer 1,Returning,18-25,Male,Visakhapatnam,Andhra Pradesh,South,Executive 17,P1107,Fashion,Watch,Watch Model 3,40424,4,25,121272,138572.85,"($17,300.85)",Cash,10,3,Yes
ORD105945,24-Jun-25,30-Jun-25,C1003,Customer 4,New,18-25,Female,Raipur,Chhattisgarh,West,Executive 19,P1107,Fashion,Watch,Watch Model 3,17846,6,15,91014.6,65134.14,"$25,880.46",Net Banking,2,3,No
ORD106040,17-Sep-24,22-Sep-24,C1049,Customer 50,Returning,26-35,Female,Gurugram,Haryana,North,Executive 2,P1106,Fashion,Watch,Watch Model 2,31146,8,15,211792.8,148505.63,"$63,287.17",Net Banking,7,3,No
ORD106215,25-Nov-24,05-Dec-24,C1002,Customer 3,Returning,26-35,Female,Bhubaneswar,Odisha,East,Executive 3,P1106,Fashion,Watch,Watch Model 2,9048,6,30,38001.6,30887.21,"$7,114.39",Net Banking,12,3,No
ORD106284,04-Sep-25,07-Sep-25,C1041,Customer 42,New,26-35,Female,Ahmedabad,Gujarat,West,Executive 6,P1107,Fashion,Watch,Watch Model 3,33136,4,15,112662.4,112979.61,($317.21),Net Banking,12,3,Yes
ORD106336,30-Jul-24,06-Aug-24,C1000,Customer 1,Returning,46-60,Female,Guwahati,Assam,East,Executive 15,P1106,Fashion,Watch,Watch Model 2,31098,1,15,26433.3,16750.48,"$9,682.82",UPI,12,3,Yes
ORD106361,14-Aug-25,17-Aug-25,C1043,Customer 44,Returning,18-25,Female,Patna,Bihar,East,Executive 20,P1108,Fashion,Watch,Watch Model 4,37733,2,15,64146.1,63547.48,$598.62,UPI,10,3,Yes
ORD106400,15-Dec-24,16-Dec-24,C1028,Customer 29,Returning,46-60,Female,Surat,Gujarat,West,Executive 3,P1107,Fashion,Watch,Watch Model 3,24942,4,20,79814.4,79591.05,$223.35,Cash,6,3,Yes
ORD106412,15-Oct-24,19-Oct-24,C1034,Customer 35,New,36-45,Male,Kolkata,West Bengal,East,Executive 14,P1112,Fashion,Watch,Watch Model 8,24201,1,35,15730.65,17670.82,"($1,940.17)",Cash,4,3,Yes
ORD106444,29-Dec-25,31-Dec-25,C1009,Customer 10,Returning,36-45,Female,Ludhiana,Punjab,North,Executive 17,P1111,Fashion,Watch,Watch Model 7,35955,3,5,102471.75,72927.66,"$29,544.09",UPI,4,3,Yes
ORD106654,11-Aug-25,18-Aug-25,C1017,Customer 18,New,26-35,Male,Bhubaneswar,Odisha,East,Executive 3,P1110,Fashion,Watch,Watch Model 6,1514,6,0,9084,6383.22,"$2,700.78",Cash,2,3,Yes
ORD106684,27-Mar-24,03-Apr-24,C1032,Customer 33,Returning,36-45,Female,Jaipur,Rajasthan,North,Executive 9,P1108,Fashion,Watch,Watch Model 4,36620,3,25,82395,79604.39,"$2,790.61",UPI,7,3,No
ORD106862,16-Mar-25,26-Mar-25,C1029,Customer 30,Returning,36-45,Male,Mysuru,Karnataka,South,Executive 9,P1110,Fashion,Watch,Watch Model 6,31561,6,10,170429.4,141474.22,"$28,955.18",Net Banking,6,3,Yes
ORD106864,25-Jul-25,27-Jul-25,C1014,Customer 15,New,36-45,Male,Ludhiana,Punjab,North,Executive 12,P1111,Fashion,Watch,Watch Model 7,35933,2,10,64679.4,59198.07,"$5,481.33",Cash,10,3,Yes
ORD107111,13-May-24,17-May-24,C1037,Customer 38,New,26-35,Female,Raipur,Chhattisgarh,West,Executive 5,P1107,Fashion,Watch,Watch Model 3,43944,8,15,298819.2,244290.17,"$54,529.03",Credit Card,10,3,Yes
ORD107224,06-Nov-24,10-Nov-24,C1038,Customer 39,Returning,26-35,Male,Kochi,Kerala,South,Executive 15,P1111,Fashion,Watch,Watch Model 7,35665,5,0,178325,105490.41,"$72,834.59",Net Banking,2,3,Yes
ORD107240,09-Mar-25,16-Mar-25,C1019,Customer 20,New,46-60,Female,Chennai,Tamil Nadu,South,Executive 7,P1107,Fashion,Watch,Watch Model 3,30949,10,35,201168.5,180192.95,"$20,975.55",Net Banking,12,3,Yes
ORD107298,16-Jul-25,17-Jul-25,C1003,Customer 4,New,26-35,Female,New Delhi,Delhi,North,Executive 10,P1111,Fashion,Watch,Watch Model 7,24486,9,30,154261.8,203975.07,"($49,713.27)",UPI,10,3,Yes
ORD107508,06-Nov-24,12-Nov-24,C1025,Customer 26,Returning,36-45,Male,New Delhi,Delhi,North,Executive 3,P1107,Fashion,Watch,Watch Model 3,15581,4,50,31162,37736.99,"($6,574.99)",Net Banking,4,3,No
ORD107567,02-May-24,05-May-24,C1041,Customer 42,New,46-60,Male,Nagpur,Maharashtra,West,Executive 3,P1108,Fashion,Watch,Watch Model 4,38079,7,35,173259.45,231619.99,"($58,360.54)",Cash,4,3,No
ORD107656,28-Jul-24,30-Jul-24,C1049,Customer 50,Returning,36-45,Female,Panaji,Goa,West,Executive 12,P1106,Fashion,Watch,Watch Model 2,30777,1,0,30777,19234.12,"$11,542.88",Credit Card,3,3,Yes
ORD107672,14-Oct-24,20-Oct-24,C1004,Customer 5,New,18-25,Male,Surat,Gujarat,West,Executive 3,P1110,Fashion,Watch,Watch Model 6,30107,10,0,301070,218295.65,"$82,774.35",Cash,6,3,Yes
ORD107830,12-Jan-24,13-Jan-24,C1044,Customer 45,New,46-60,Male,Raipur,Chhattisgarh,West,Executive 7,P1108,Fashion,Watch,Watch Model 4,13431,3,25,30219.75,22444.64,"$7,775.11",UPI,10,3,Yes
ORD108091,29-Apr-24,05-May-24,C1044,Customer 45,New,18-25,Female,Jaipur,Rajasthan,North,Executive 10,P1108,Fashion,Watch,Watch Model 4,26581,2,40,31897.2,32503.97,($606.77),Cash,8,3,No
ORD108242,05-Jun-24,10-Jun-24,C1022,Customer 23,Returning,26-35,Male,Patna,Bihar,East,Executive 7,P1105,Fashion,Watch,Watch Model 1,11520,7,50,40320,70491.63,"($30,171.63)",Cash,9,3,No
ORD108349,21-Apr-25,30-Apr-25,C1010,Customer 11,New,26-35,Female,Kolkata,West Bengal,East,Executive 7,P1112,Fashion,Watch,Watch Model 8,31984,5,15,135932,126252,"$9,680",Net Banking,7,3,Yes
ORD108365,25-Feb-25,04-Mar-25,C1022,Customer 23,Returning,18-25,Female,Ludhiana,Punjab,North,Executive 2,P1111,Fashion,Watch,Watch Model 7,11346,9,25,76585.5,72221.76,"$4,363.74",Cash,8,3,No
ORD108380,05-Feb-24,06-Feb-24,C1007,Customer 8,Returning,36-45,Female,Guwahati,Assam,East,Executive 19,P1106,Fashion,Watch,Watch Model 2,12298,10,30,86086,93378.94,"($7,292.94)",Net Banking,9,3,No
ORD108401,27-Jun-24,03-Jul-24,C1031,Customer 32,New,46-60,Female,New Delhi,Delhi,North,Executive 19,P1110,Fashion,Watch,Watch Model 6,13967,3,15,35615.85,34681.51,$934.34,Net Banking,4,3,No
ORD108489,06-Mar-25,13-Mar-25,C1034,Customer 35,New,18-25,Male,Gurugram,Haryana,North,Executive 4,P1109,Fashion,Watch,Watch Model 5,35024,3,25,78804,73130.63,"$5,673.37",Credit Card,2,3,No
ORD108625,13-Aug-25,17-Aug-25,C1004,Customer 5,Returning,26-35,Male,Visakhapatnam,Andhra Pradesh,South,Executive 16,P1106,Fashion,Watch,Watch Model 2,4764,2,25,7146,8409.64,"($1,263.64)",Net Banking,3,3,Yes
ORD108714,16-Nov-25,24-Nov-25,C1019,Customer 20,Returning,18-25,Male,Ranchi,Jharkhand,East,Executive 18,P1109,Fashion,Watch,Watch Model 5,9463,7,15,56304.85,56283.15,$21.7,Credit Card,7,3,No
ORD108811,07-Oct-25,15-Oct-25,C1022,Customer 23,Returning,26-35,Female,Guwahati,Assam,East,Executive 16,P1105,Fashion,Watch,Watch Model 1,16123,2,35,20959.9,19586.98,"$1,372.92",Net Banking,1,3,No
ORD108862,20-Oct-25,29-Oct-25,C1014,Customer 15,New,36-45,Female,Kochi,Kerala,South,Executive 19,P1111,Fashion,Watch,Watch Model 7,10610,9,20,76392,62619.98,"$13,772.02",Cash,7,3,No
ORD108895,05-Apr-24,09-Apr-24,C1016,Customer 17,Returning,46-60,Female,Surat,Gujarat,West,Executive 2,P1105,Fashion,Watch,Watch Model 1,18497,1,35,12023.05,11547.14,$475.91,UPI,6,3,No
ORD109053,29-Nov-25,07-Dec-25,C1011,Customer 12,Returning,18-25,Female,Jaipur,Rajasthan,North,Executive 11,P1107,Fashion,Watch,Watch Model 3,8024,6,0,48144,38315.44,"$9,828.56",Credit Card,3,3,Yes
ORD109150,13-Mar-25,16-Mar-25,C1048,Customer 49,New,36-45,Female,Patna,Bihar,East,Executive 13,P1112,Fashion,Watch,Watch Model 8,5976,8,40,28684.8,32839.84,"($4,155.04)",UPI,9,3,Yes
ORD109235,18-Oct-25,27-Oct-25,C1028,Customer 29,Returning,26-35,Female,Mysuru,Karnataka,South,Executive 2,P1112,Fashion,Watch,Watch Model 8,5049,4,35,13127.4,15071.75,"($1,944.35)",Cash,3,3,No
ORD109628,04-Feb-24,06-Feb-24,C1008,Customer 9,New,36-45,Male,Coimbatore,Tamil Nadu,South,Executive 5,P1106,Fashion,Watch,Watch Model 2,22571,2,10,40627.8,38233.43,"$2,394.37",Net Banking,11,3,Yes
ORD109729,30-Apr-25,10-May-25,C1038,Customer 39,New,46-60,Male,Raipur,Chhattisgarh,West,Executive 1,P1110,Fashion,Watch,Watch Model 6,14682,3,15,37439.1,25110.08,"$12,329.02",Net Banking,8,3,Yes
ORD100141,20-Jun-25,23-Jun-25,C1015,Customer 16,New,36-45,Female,Bhopal,Madhya Pradesh,West,Executive 3,P1096,Fashion,Shoes,Shoes Model 8,26709,8,50,106836,130221.02,"($23,385.02)",Credit Card,5,3,Yes
ORD100146,31-Dec-25,02-Jan-26,C1005,Customer 6,Returning,26-35,Female,New Delhi,Delhi,North,Executive 11,P1093,Fashion,Shoes,Shoes Model 5,7082,2,0,14164,13092.24,"$1,071.76",Net Banking,6,3,Yes
ORD100453,13-Apr-24,20-Apr-24,C1031,Customer 32,Returning,26-35,Male,Ranchi,Jharkhand,East,Executive 1,P1092,Fashion,Shoes,Shoes Model 4,17192,6,10,92836.8,59685.98,"$33,150.82",UPI,2,3,No
ORD100461,04-Sep-24,09-Sep-24,C1046,Customer 47,Returning,18-25,Male,Ludhiana,Punjab,North,Executive 17,P1091,Fashion,Shoes,Shoes Model 3,8214,1,5,7803.3,5765.67,"$2,037.63",UPI,8,3,Yes
ORD100500,02-Jan-25,04-Jan-25,C1018,Customer 19,New,36-45,Male,Ahmedabad,Gujarat,West,Executive 3,P1093,Fashion,Shoes,Shoes Model 5,2608,9,15,19951.2,15261.28,"$4,689.92",Cash,5,3,No
ORD100634,17-Mar-25,21-Mar-25,C1009,Customer 10,Returning,46-60,Female,Mysuru,Karnataka,South,Executive 9,P1095,Fashion,Shoes,Shoes Model 7,6510,1,30,4557,5399.4,($842.4),Net Banking,4,3,Yes
ORD100819,06-Dec-25,08-Dec-25,C1018,Customer 19,New,26-35,Female,Hyderabad,Telangana,South,Executive 8,P1096,Fashion,Shoes,Shoes Model 8,26442,1,10,23797.8,14906.71,"$8,891.09",Credit Card,10,3,No
ORD100938,11-Dec-24,13-Dec-24,C1032,Customer 33,Returning,18-25,Female,Visakhapatnam,Andhra Pradesh,South,Executive 3,P1092,Fashion,Shoes,Shoes Model 4,6131,6,10,33107.4,24813.86,"$8,293.54",Credit Card,9,3,Yes
ORD101056,14-Feb-25,17-Feb-25,C1007,Customer 8,New,18-25,Male,Raipur,Chhattisgarh,West,Executive 6,P1090,Fashion,Shoes,Shoes Model 2,34944,9,25,235872,220483.37,"$15,388.63",Net Banking,10,3,No
ORD101087,17-Jun-24,18-Jun-24,C1013,Customer 14,Returning,26-35,Female,Kochi,Kerala,South,Executive 14,P1089,Fashion,Shoes,Shoes Model 1,45741,10,30,320187,407039.68,"($86,852.68)",UPI,8,3,No
ORD101395,27-Jan-25,31-Jan-25,C1016,Customer 17,New,18-25,Female,Panaji,Goa,West,Executive 12,P1089,Fashion,Shoes,Shoes Model 1,35791,2,5,68002.9,46129.76,"$21,873.14",Net Banking,5,3,No
ORD101487,16-Oct-25,25-Oct-25,C1003,Customer 4,Returning,46-60,Female,Surat,Gujarat,West,Executive 16,P1095,Fashion,Shoes,Shoes Model 7,14463,4,30,40496.4,51028.25,"($10,531.85)",Cash,3,3,No
ORD101667,27-Feb-25,04-Mar-25,C1031,Customer 32,Returning,36-45,Male,Kolkata,West Bengal,East,Executive 7,P1094,Fashion,Shoes,Shoes Model 6,5103,9,15,39037.95,23142.53,"$15,895.42",Cash,9,3,Yes
