Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Customer_Type,Age_Group,Gender,City,State,Region,Sales_Executive,Product_ID,Category,Sub_Category,Product_Name,Unit_Price,Quantity,Discount (%),Sales,Cost,Profit,Payment_Mode,Delivery_Days,Customer_Rating,Returned
ORD100010,2024-05-03,2024-05-07,C1014,Customer 15,New,36-45,Male,Raipur,Chhattisgarh,West,Executive 19,P1057,Furniture,Sofa,Sofa Model 1,571,2,0,1142,688.65,453.35,UPI,6,1,Yes
ORD100011,2024-10-12,2024-10-20,C1013,Customer 14,New,46-60,Male,Guwahati,Assam,East,Executive 7,P1025,Electronics,Monitor,Monitor Model 1,6452,7,25,33873,31190.73,2682.27,Net Banking,12,1,Yes
ORD100012,2024-03-03,2024-03-10,C1046,Customer 47,Returning,18-25,Male,Kolkata,West Bengal,East,Executive 18,P1115,Fashion,Jacket,Jacket Model 3,9286,7,10,58501.8,40648.7,17853.1,Credit Card,2,4,Yes
ORD100013,2024-02-21,2024-03-01,C1000,Customer 1,New,26-35,Male,Bhubaneswar,Odisha,East,Executive 16,P1055,Furniture,Table,Table Model 7,26382,1,10,23743.8,17690.13,6053.67,Net Banking,5,4,No
ORD100014,2025-03-09,2025-03-18,C1042,Customer 43,Returning,26-35,Male,Lucknow,Uttar Pradesh,North,Executive 2,P1149,Grocery,Tea,Tea Model 5,48317,9,0,434853,363793.24,71059.76,UPI,1,5,No
ORD100015,2025-05-29,2025-06-07,C1010,Customer 11,New,18-25,Male,Chennai,Tamil Nadu,South,Executive 8,P1104,Fashion,Jeans,Jeans Model 8,7956,10,15,67626,60506.46,7119.54,UPI,10,1,No
ORD100016,2025-11-04,2025-11-14,C1036,Customer 37,Returning,36-45,Male,Kochi,Kerala,South,Executive 9,P1102,Fashion,Jeans,Jeans Model 6,8677,5,35,28200.25,27865.31,334.94,UPI,1,4,Yes
ORD100017,2024-03-16,2024-03-25,C1013,Customer 14,Returning,26-35,Female,Chennai,Tamil Nadu,South,Executive 12,P1073,Furniture,Bed,Bed Model 1,10438,8,40,50102.4,68188.78,-18086.38,UPI,11,5,No
ORD100018,2025-11-10,2025-11-12,C1008,Customer 9,Returning,18-25,Male,Ranchi,Jharkhand,East,Executive 9,P1073,Furniture,Bed,Bed Model 1,39738,4,25,119214,94038.99,25175.01,Cash,9,4,No
ORD100019,2024-02-22,2024-02-24,C1040,Customer 41,Returning,36-45,Male,Mumbai,Maharashtra,West,Executive 5,P1164,Sports,Football,Football Model 4,17267,3,35,33670.65,38760.42,-5089.77,Net Banking,9,1,Yes
ORD100020,2024-03-18,2024-03-21,C1034,Customer 35,New,36-45,Male,Bhubaneswar,Odisha,East,Executive 2,P1079,Furniture,Bed,Bed Model 7,23997,1,25,17997.75,14267.04,3730.71,Credit Card,11,1,No
ORD100021,2025-07-27,2025-08-03,C1039,Customer 40,New,26-35,Male,Hyderabad,Telangana,South,Executive 1,P1046,Furniture,Chair,Chair Model 6,48371,6,30,203158.2,249886.27,-46728.07,Credit Card,5,2,Yes
ORD100022,2025-01-26,2025-01-27,C1030,Customer 31,New,26-35,Female,Ludhiana,Punjab,North,Executive 8,P1058,Furniture,Sofa,Sofa Model 2,1650,4,30,4620,4274.94,345.06,UPI,5,3,No
ORD100023,2025-11-26,2025-12-05,C1021,Customer 22,New,18-25,Female,Hyderabad,Telangana,South,Executive 2,P1028,Electronics,Monitor,Monitor Model 4,39196,7,25,205779,227137.56,-21358.56,Cash,7,5,Yes
ORD100024,2025-01-29,2025-02-08,C1012,Customer 13,Returning,18-25,Female,Nagpur,Maharashtra,West,Executive 18,P1176,Sports,Cricket Bat,Cricket Bat Model 8,47248,4,25,141744,131176.29,10567.71,Cash,10,3,Yes
ORD100025,2024-11-03,2024-11-12,C1019,Customer 20,Returning,36-45,Female,Lucknow,Uttar Pradesh,North,Executive 7,P1108,Fashion,Watch,Watch Model 4,43676,7,10,275158.8,237548.17,37610.63,Cash,7,5,Yes
ORD100026,2024-11-07,2024-11-12,C1013,Customer 14,Returning,36-45,Female,Patna,Bihar,East,Executive 7,P1131,Grocery,Oil,Oil Model 3,31110,3,5,88663.5,58583.6,30079.9,Cash,2,2,No
ORD100027,2024-08-18,2024-08-22,C1009,Customer 10,New,18-25,Male,Guwahati,Assam,East,Executive 15,P1107,Fashion,Watch,Watch Model 3,41372,10,15,351662,340597.33,11064.67,Net Banking,8,4,Yes
ORD100028,2025-13-45,2024-06-01,C1048,Customer 49,New,46-60,Male,Hyderabad,Telangana,South,Executive 2,P1143,Grocery,Snacks,Snacks Model 7,16431,2,35,21360.3,18402.81,2957.49,Net Banking,11,5,No
ORD100029,2025-03-29,2025-04-08,C1046,Customer 47,Returning,46-60,Male,Guwahati,Assam,East,Executive 9,P1193,Sports,Dumbbell,Dumbbell Model 1,16303,5,40,48909,58533.37,-9624.37,Credit Card,5,4,Yes
ORD100030,2025-12-31,2026-01-05,C1015,Customer 16,Returning,36-45,Female,Ranchi,Jharkhand,East,Executive 5,P1039,Electronics,Keyboard,Keyboard Model 7,15255,7,10,96106.5,87338.24,8768.26,UPI,7,4,No
ORD100031,2025-07-09,2025-07-17,C1026,Customer 27,New,26-35,Female,Gurugram,Haryana,North,Executive 19,P1098,Fashion,Jeans,Jeans Model 2,31359,1,25,23519.25,19893.39,3625.86,Net Banking,7,5,Yes
ORD100032,2025-05-14,2025-05-18,C1017,Customer 18,Returning,46-60,Male,Gurugram,Haryana,North,Executive 13,P1186,Sports,Tennis Racket,Tennis Racket Model 2,10916,8,10,78595.2,82204.02,-3608.82,UPI,7,5,Yes
ORD100033,2024-03-26,2024-04-02,C1008,Customer 9,Returning,26-35,Male,Bhopal,Madhya Pradesh,West,Executive 11,P1055,Furniture,Table,Table Model 7,29899,6,25,134545.5,151149.02,-16603.52,Net Banking,5,4,No
ORD100034,2024-03-24,2024-04-01,C1001,Customer 2,New,36-45,Male,Chennai,Tamil Nadu,South,Executive 1,P1064,Furniture,Sofa,Sofa Model 8,13165,1,50,6582.5,7485.25,-902.75,Credit Card,8,1,Yes
ORD100035,2025-04-21,2025-04-26,C1049,,Returning,26-35,Male,Hyderabad,Telangana,South,Executive 4,P1149,Grocery,Tea,Tea Model 5,1782,5,50,4455,7170.82,-2715.82,Net Banking,7,2,Yes
ORD100036,2025-08-29,2025-09-02,C1006,Customer 7,Returning,18-25,Male,Ludhiana,Punjab,North,Executive 12,P1018,Electronics,Headphones,Headphones Model 2,33258,6,0,199548,176063,23485,Net Banking,2,4,No
ORD100037,2025-10-12,2025-10-20,C1045,Customer 46,New,46-60,Male,Panaji,Goa,West,Executive 20,P1138,Grocery,Snacks,Snacks Model 2,31786,8,30,178001.6,221632.48,-43630.88,Cash,6,2,Yes
ORD100038,2024-10-12,2024-10-20,C1015,Customer 16,Returning,46-60,Female,Mumbai,Maharashtra,West,Executive 11,P1047,Furniture,Chair,Chair Model 7,32052,4,25,96156,110133.82,-13977.82,Cash,5,5,No
ORD100039,2025-07-23,2025-07-24,C1033,,New,18-25,Male,Bhubaneswar,Odisha,East,Executive 18,P1195,Sports,Dumbbell,Dumbbell Model 3,15849,8,35,82414.8,88967.23,-6552.43,UPI,2,3,Yes
ORD100040,2025-02-18,2025-02-22,C1019,Customer 20,Returning,46-60,Female,Bhubaneswar,Odisha,East,Executive 12,P1180,Sports,Yoga Mat,Yoga Mat Model 4,29836,5,20,119344,91466.98,27877.02,UPI,12,2,No
ORD100041,2024-05-02,2024-05-11,C1048,Customer 49,New,26-35,Male,Guwahati,Assam,East,Executive 19,P1195,Sports,Dumbbell,Dumbbell Model 3,34482,10,20,275856,324554.85,-48698.85,Credit Card,5,2,No
ORD100042,2024-07-02,2024-07-07,C1000,Customer 1,New,36-45,Male,Mysuru,Karnataka,South,Executive 5,P1164,Sports,Football,Football Model 4,49434,8,5,375698.4,353047.3,22651.1,Cash,8,4,No
ORD100043,2024-12-14,2024-12-17,C1003,Customer 4,Returning,46-60,Male,Coimbatore,Tamil Nadu,South,Executive 16,P1019,Electronics,Headphones,Headphones Model 3,37915,1,10,34123.5,21503.07,12620.43,Cash,2,2,Yes
ORD100044,2025-07-25,2025-08-01,C1038,Customer 39,New,46-60,Female,Patna,Bihar,East,Executive 19,P1110,Fashion,Watch,Watch Model 6,20113,10,50,100565,106016.35,-5451.35,UPI,4,2,No
ORD100045,2025-11-07,2025-11-09,C1010,Customer 11,New,26-35,Male,Hyderabad,Telangana,South,Executive 14,P1116,Fashion,Jacket,Jacket Model 4,45278,10,35,294307,285734.37,8572.63,Credit Card,5,3,No
ORD100046,2024-03-13,2024-03-17,C1016,Customer 17,New,46-60,Male,Ranchi,Jharkhand,East,Executive 5,P1069,Furniture,Cabinet,Cabinet Model 5,9421,2,0,18842,10827.84,8014.16,Cash,10,5,No
ORD100047,2025-03-25,2025-03-27,C1029,Customer 30,Returning,46-60,Female,Panaji,Goa,West,Executive 15,P1021,Electronics,Headphones,Headphones Model 5,39292,1,30,27504.4,32633.59,-5129.19,Cash,1,1,Yes
ORD100048,2025-11-21,2025-12-01,C1037,Customer 38,New,36-45,Male,Hyderabad,Telangana,South,Executive 17,P1167,Sports,Football,Football Model 7,29081,5,10,130864.5,137934.89,-7070.39,Net Banking,11,4,Yes
ORD100049,2025-04-26,2025-05-02,C1026,Customer 27,Returning,36-45,Male,Hyderabad,Telangana,South,Executive 14,P1178,Sports,Yoga Mat,Yoga Mat Model 2,32571,5,30,113998.5,141049.48,-27050.98,UPI,8,1,No
ORD100050,2024-09-15,2024-09-21,C1007,Customer 8,Returning,18-25,Female,Bhubaneswar,Odisha,East,Executive 7,P1133,Grocery,Oil,Oil Model 5,23809,10,35,154758.5,186051.61,-31293.11,UPI,4,3,Yes
ORD100051,2024-10-21,2024-10-29,C1044,Customer 45,Returning,18-25,Male,Visakhapatnam,Andhra Pradesh,South,Executive 6,P1080,Furniture,Bed,Bed Model 8,36199,1,40,21719.4,24745.48,-3026.08,Credit Card,2,4,Yes
ORD100052,2025-10-25,2025-10-28,C1031,Customer 32,Returning,36-45,Female,Guwahati,Assam,East,Executive 8,P1117,Fashion,Jacket,Jacket Model 5,36227,3,30,76076.7,63662.58,12414.12,Credit Card,2,3,No
ORD100053,2024-12-14,2024-12-23,C1017,Customer 18,New,36-45,Female,Raipur,Chhattisgarh,West,Executive 5,P1115,Fashion,Jacket,Jacket Model 3,35396,8,25,212376,183945.36,28430.64,Net Banking,8,,Yes
ORD100054,2025-12-15,2025-12-19,C1036,Customer 37,Returning,26-35,Female,Mysuru,Karnataka,South,Executive 16,P1181,Sports,Yoga Mat,Yoga Mat Model 5,25084,7,10,158029.2,126932.2,31097,UPI,3,5,No
ORD100055,2024-04-12,2024-04-20,C1006,Customer 7,Returning,18-25,Male,Bhubaneswar,Odisha,East,Executive 3,P1121,Grocery,Rice,Rice Model 1,17468,6,50,52404,85074.44,-32670.44,UPI,6,5,No
ORD100056,2024-11-20,2024-11-28,C1034,Customer 35,New,18-25,Male,Lucknow,Uttar Pradesh,North,Executive 3,P1112,Fashion,Watch,Watch Model 8,6551,2,35,8516.3,7531.87,984.43,Cash,1,1,No
ORD100057,2024-02-27,2024-03-03,C1022,Customer 23,Returning,46-60,Male,Jaipur,Rajasthan,North,Executive 19,P1175,Sports,Cricket Bat,Cricket Bat Model 7,11900,3,10,32130,19118.63,13011.37,Net Banking,10,2,No
ORD100058,2025-08-20,2025-08-23,C1014,Customer 15,Returning,36-45,Female,Indore,Madhya Pradesh,West,Executive 15,P1074,Furniture,Bed,Bed Model 2,44507,9,10,360506.7,213595.35,146911.35,Cash,10,3,No
ORD100059,2025-12-07,2025-12-12,C1029,Customer 30,Returning,26-35,Female,Guwahati,Assam,East,Executive 8,P1098,Fashion,Jeans,Jeans Model 2,37581,6,50,112743,142764.79,-30021.79,Cash,1,4,No
ORD100060,2024-01-09,2024-01-19,C1043,Customer 44,New,46-60,Female,Jaipur,Rajasthan,North,Executive 8,P1163,Sports,Football,Football Model 3,12560,10,20,100480,101107.25,-627.25,Credit Card,11,1,Yes
ORD100061,2024-11-12,2024-11-20,C1002,Customer 3,Returning,26-35,Male,Noida,Uttar Pradesh,North,Executive 14,P1045,Furniture,Chair,Chair Model 5,13259,3,40,23866.2,35576.84,-11710.64,Cash,9,5,No
ORD100062,2024-06-17,2024-06-22,C1030,Customer 31,Returning,36-45,Male,Patna,Bihar,East,Executive 5,P1194,Sports,Dumbbell,Dumbbell Model 2,14885,7,40,62517,69247.87,-6730.87,Net Banking,1,3,Yes
ORD100063,2025-04-10,2025-04-16,C1043,Customer 44,Returning,46-60,Female,Ahmedabad,Gujarat,West,Executive 16,P1007,Electronics,Laptop,Laptop Model 7,40702,9,25,274738.5,334032.62,-59294.12,Credit Card,11,1,No
ORD100064,2025-12-18,2025-12-23,C1041,Customer 42,Returning,18-25,Male,Bengaluru,Karnataka,South,Executive 10,P1127,Grocery,Rice,Rice Model 7,7710,2,15,13107,13866.69,-759.69,Credit Card,7,4,No
ORD100065,2025-11-17,2025-11-26,C1026,Customer 27,New,46-60,Male,Guwahati,Assam,East,Executive 9,P1009,Electronics,Mobile,Mobile Model 1,45338,6,15,231223.8,190289.68,40934.12,Credit Card,6,1,No
ORD100066,2025-07-11,2025-07-17,C1003,Customer 4,Returning,36-45,Male,Surat,Gujarat,West,Executive 3,P1170,Sports,Cricket Bat,Cricket Bat Model 2,14000,10,0,140000,73186.45,66813.55,Cash,4,2,Yes
ORD100067,2024-03-11,2024-03-20,C1013,Customer 14,New,26-35,Female,New Delhi,Delhi,North,Executive 9,P1038,Electronics,Keyboard,Keyboard Model 6,8619,9,20,62056.8,66659.18,-4602.38,UPI,11,1,Yes
ORD100068,2024-01-16,2024-01-22,C1015,Customer 16,Returning,18-25,Male,Indore,Madhya Pradesh,West,Executive 5,P1190,Sports,Tennis Racket,Tennis Racket Model 6,27688,9,5,236732.4,208212.22,28520.18,Net Banking,8,3,Yes
ORD100069,2025-04-07,2025-04-16,C1014,Customer 15,New,36-45,Female,Pune,Maharashtra,West,Executive 16,P1103,Fashion,Jeans,Jeans Model 7,28036,2,35,36446.8,46011.59,-9564.79,Net Banking,2,1,No
ORD100070,2025-09-14,2025-09-17,C1004,Customer 5,New,36-45,Female,Gurugram,Haryana,North,Executive 15,P1130,Grocery,Oil,Oil Model 2,39777,7,5,264517.05,238592.5,25924.55,UPI,11,5,Yes
ORD100071,2025-03-16,2025-03-24,C1014,Customer 15,Returning,36-45,Female,Gurugram,Haryana,North,Executive 4,P1081,Fashion,Shirt,Shirt Model 1,28068,6,20,134726.4,112569.88,22156.52,Credit Card,11,4,Yes
ORD100072,2024-04-03,2024-04-05,C1005,Customer 6,Returning,18-25,Female,New Delhi,Delhi,North,Executive 19,P1144,Grocery,Snacks,Snacks Model 8,36910,6,5,210387,151669.96,58717.04,Net Banking,12,1,No
ORD100073,2025-09-06,2025-09-11,C1022,Customer 23,New,26-35,Male,Guwahati,Assam,East,Executive 4,P1090,Fashion,Shoes,Shoes Model 2,36555,6,5,208363.5,184933.03,23430.47,Credit Card,7,5,Yes
ORD100074,2025-09-15,2025-09-20,C1001,Customer 2,New,36-45,Female,Kochi,Kerala,South,Executive 1,P1047,Furniture,Chair,Chair Model 7,9488,10,30,66416,50411.02,16004.98,UPI,2,5,Yes
ORD100075,2025-01-20,2025-01-27,C1029,Customer 30,Returning,26-35,Female,Noida,Uttar Pradesh,North,Executive 19,P1153,Grocery,Coffee,Coffee Model 1,5667,1,10,5100.3,3234.92,1865.38,UPI,11,1,No
ORD100076,2025-03-29,2025-04-05,C1031,Customer 32,Returning,46-60,Female,Kolkata,West Bengal,East,Executive 12,P1111,Fashion,Watch,Watch Model 7,7367,5,50,18417.5,26483.8,-8066.3,Cash,1,2,No
ORD100077,2025-09-05,2025-09-06,C1000,Customer 1,New,36-45,Male,New Delhi,Delhi,North,Executive 10,P1084,Fashion,Shirt,Shirt Model 4,7963,1,35,5175.95,6658.31,-1482.36,Credit Card,3,4,Yes
ORD100078,2025-05-27,2025-06-05,C1042,Customer 43,Returning,18-25,Female,Mysuru,Karnataka,South,Executive 1,P1118,Fashion,Jacket,Jacket Model 6,5202,6,50,15606,21635.47,-6029.47,Net Banking,12,4,No
ORD100079,2024-04-27,2024-05-04,C1001,Customer 2,Returning,26-35,Female,Ludhiana,Punjab,North,Executive 14,P1028,Electronics,Monitor,Monitor Model 4,16045,7,50,56157.5,76396.93,-20239.43,UPI,7,3,No
ORD100080,2024-08-14,2024-08-20,C1049,Customer 50,New,18-25,Male,Panaji,Goa,West,Executive 12,P1090,Fashion,Shoes,Shoes Model 2,47769,3,15,121810.95,78283.17,43527.78,Cash,4,2,Yes
ORD100081,2025-11-02,2025-11-04,C1011,Customer 12,Returning,46-60,Female,Raipur,Chhattisgarh,West,Executive 11,P1039,Electronics,Keyboard,Keyboard Model 7,28920,2,35,37596,40429.79,-2833.79,Cash,5,5,Yes
ORD100082,2024-12-26,2025-01-04,C1004,Customer 5,Returning,46-60,Female,Bengaluru,Karnataka,South,Executive 12,P1074,Furniture,Bed,Bed Model 2,5128,2,50,5128,7869.8,-2741.8,Net Banking,8,5,Yes
ORD100083,2025-04-05,2025-04-15,C1041,Customer 42,New,36-45,Female,Panaji,Goa,West,Executive 2,P1116,Fashion,Jacket,Jacket Model 4,6883,6,5,39233.1,30025.59,9207.51,Credit Card,1,2,No
ORD100084,2025-03-25,2025-04-03,C1033,Customer 34,New,36-45,Female,Noida,Uttar Pradesh,North,Executive 14,P1199,Sports,Dumbbell,Dumbbell Model 7,22275,10,0,222750,190485.13,32264.87,Cash,2,3,Yes
ORD100085,2025-07-25,2025-08-01,C1018,Customer 19,Returning,26-35,Female,Chennai,Tamil Nadu,South,Executive 12,P1080,Furniture,Bed,Bed Model 8,43095,7,10,271498.5,231608.9,39889.6,UPI,5,5,No
ORD100086,2025-10-20,2025-10-26,C1008,Customer 9,New,46-60,Female,Mumbai,Maharashtra,West,Executive 10,P1047,Furniture,Chair,Chair Model 7,14137,6,35,55134.3,49739.82,5394.48,Credit Card,3,1,No
ORD100087,2024-04-13,2024-04-22,C1049,Customer 50,New,36-45,Male,Visakhapatnam,Andhra Pradesh,South,Executive 5,P1042,Furniture,Chair,Chair Model 2,11951,10,10,107559,98539.86,9019.14,UPI,7,3,Yes
ORD100088,2025-03-30,2025-04-09,C1018,Customer 19,Returning,26-35,Male,Noida,Uttar Pradesh,North,Executive 7,P1095,Fashion,Shoes,Shoes Model 7,44553,10,35,289594.5,315326.53,-25732.03,Cash,7,5,No
ORD100089,2024-06-14,2024-06-18,C1038,Customer 39,New,36-45,Male,Guwahati,Assam,East,Executive 18,P1027,Electronics,Monitor,Monitor Model 3,46722,9,5,399473.1,264189.79,135283.31,Credit Card,5,4,Yes
ORD100090,2025-03-23,2025-03-25,C1014,Customer 15,Returning,36-45,Male,Bhubaneswar,Odisha,East,Executive 13,P1129,Grocery,Oil,Oil Model 1,24607,4,30,68899.6,93264.11,-24364.51,Cash,4,1,No
ORD100091,2024-04-11,2024-04-17,C1009,Customer 10,New,18-25,Female,Guwahati,Assam,East,Executive 16,P1115,Fashion,Jacket,Jacket Model 3,40427,1,5,38405.65,20559.22,17846.43,Credit Card,3,5,No
ORD100092,2024-04-23,2024-04-28,C1015,Customer 16,Returning,18-25,Male,Jaipur,Rajasthan,North,Executive 20,P1118,Fashion,Jacket,Jacket Model 6,4216,2,35,5480.8,6480.27,-999.47,UPI,11,5,Yes
ORD100093,2024-05-27,2024-06-01,C1027,Customer 28,New,36-45,Male,Raipur,Chhattisgarh,West,Executive 6,P1171,Sports,Cricket Bat,Cricket Bat Model 3,43892,2,40,52670.4,82393.58,-29723.18,UPI,9,,Yes
ORD100094,2025-02-03,2025-02-11,C1002,Customer 3,Returning,36-45,Female,Mumbai,Maharashtra,West,Executive 3,P1089,Fashion,Shoes,Shoes Model 1,15902,2,50,15902,26423.85,-10521.85,Cash,3,1,No
ORD100095,2025-07-13,2025-07-19,C1041,Customer 42,New,46-60,Female,Hyderabad,Telangana,South,Executive 3,P1184,Sports,Yoga Mat,Yoga Mat Model 8,30094,1,20,24075.2,17777.01,6298.19,Credit Card,1,3,No
ORD100096,2025-06-11,2025-06-18,C1034,Customer 35,Returning,36-45,Male,Kolkata,West Bengal,East,Executive 12,P1200,Sports,Dumbbell,Dumbbell Model 8,3232,6,,15513.6,10782.22,4731.38,Cash,7,4,No
ORD100097,2025-01-30,2025-02-05,C1011,Customer 12,Returning,46-60,Female,Panaji,Goa,West,Executive 3,P1187,Sports,Tennis Racket,Tennis Racket Model 3,27920,2,30,39088,43058.45,-3970.45,Credit Card,9,3,No
ORD100098,2024-04-15,2024-04-17,C1020,Customer 21,Returning,36-45,Female,Visakhapatnam,Andhra Pradesh,South,Executive 6,P1177,Sports,Yoga Mat,Yoga Mat Model 1,29191,6,35,113844.9,90911.25,22933.65,Cash,10,4,No
ORD100099,2025-10-16,2025-10-17,C1004,Customer 5,Returning,36-45,Male,Pune,Maharashtra,West,Executive 20,P1174,Sports,Cricket Bat,Cricket Bat Model 6,28816,1,10,25934.4,15279.83,10654.57,Cash,6,4,Yes
ORD100100,2025-09-11,2025-09-14,C1043,Customer 44,Returning,36-45,Female,Patna,Bihar,East,Executive 19,P1036,Electronics,Keyboard,Keyboard Model 4,34798,6,30,146151.6,133931.96,12219.64,Cash,4,1,Yes
ORD100101,2024-07-09,2024-07-17,C1033,Customer 34,Returning,18-25,Female,Bhopal,Madhya Pradesh,West,Executive 7,P1157,Grocery,Coffee,Coffee Model 5,18815,8,15,127942,83566.72,44375.28,UPI,8,2,No
ORD100102,2024-03-30,2024-04-05,C1042,Customer 43,Returning,18-25,Female,Lucknow,Uttar Pradesh,North,Executive 6,P1093,Fashion,Shoes,Shoes Model 5,33441,4,5,127075.8,126180.87,894.93,Credit Card,4,4,Yes
ORD100103,2025-01-04,2025-01-13,C1036,Customer 37,Returning,46-60,Male,Visakhapatnam,Andhra Pradesh,South,Executive 3,P1080,Furniture,Bed,Bed Model 8,26193,8,40,125726.4,143507.84,-17781.44,Net Banking,10,1,Yes
ORD100104,2024-11-20,2024-11-22,C1028,Customer 29,Returning,36-45,Male,Ranchi,Jharkhand,East,Executive 5,P1111,Fashion,Watch,Watch Model 7,33055,1,5,31402.25,24234.14,7168.11,Cash,3,2,No
ORD100105,2025-12-27,2025-12-31,C1022,Customer 23,Returning,18-25,Female,Kolkata,West Bengal,East,Executive 5,P1161,Sports,Football,Football Model 1,19945,10,40,119670,108110.43,11559.57,Credit Card,10,5,Yes
ORD100106,2024-06-24,2024-07-04,C1046,Customer 47,Returning,18-25,Male,Chennai,Tamil Nadu,South,Executive 19,P1068,Furniture,Cabinet,Cabinet Model 4,42772,4,50,85544,117616.85,-32072.85,UPI,8,5,No
ORD100107,2025-10-19,2025-10-24,C1030,,New,46-60,Female,Patna,Bihar,East,Executive 2,P1041,Furniture,Chair,Chair Model 1,28909,7,35,131535.95,143475.16,-11939.21,Cash,10,2,No
ORD100108,2024-11-22,2024-11-28,C1025,Customer 26,New,36-45,Male,Kochi,Kerala,South,Executive 15,P1032,Electronics,Monitor,Monitor Model 8,17629,8,15,119877.2,79456.71,40420.49,UPI,5,4,No
ORD100109,2024-09-11,2024-09-14,C1020,Customer 21,Returning,26-35,Male,Guwahati,Assam,East,Executive 16,P1079,Furniture,Bed,Bed Model 7,32695,1,5,31060.25,30254.47,805.78,Net Banking,4,2,No
ORD100110,2024-02-19,2024-02-20,C1018,Customer 19,Returning,46-60,Female,Ranchi,Jharkhand,East,Executive 4,P1111,Fashion,Watch,Watch Model 7,8877,5,25,33288.75,37449.2,-4160.45,Cash,1,4,Yes
ORD100111,2025-08-06,2025-08-15,C1012,Customer 13,Returning,36-45,Male,Gurugram,Haryana,North,Executive 18,P1072,Furniture,Cabinet,Cabinet Model 8,40944,10,5,388968,228425.97,160542.03,UPI,7,3,No
ORD100112,2025-07-25,2025-07-31,C1048,Customer 49,New,26-35,Female,Panaji,Goa,West,Executive 2,P1010,Electronics,Mobile,Mobile Model 2,9080,6,35,35412,39971.96,-4559.96,Credit Card,10,5,Yes
ORD100113,2024-12-01,2024-12-11,C1020,Customer 21,New,46-60,Female,Raipur,Chhattisgarh,West,Executive 17,P1131,Grocery,Oil,Oil Model 3,34987,8,50,139948,177707.58,-37759.58,UPI,6,3,Yes
ORD100114,2025-03-02,2025-03-12,C1019,Customer 20,New,46-60,Female,Raipur,Chhattisgarh,West,Executive 2,P1150,Grocery,Tea,Tea Model 6,31586,3,40,56854.8,74201.33,-17346.53,Net Banking,3,2,Yes
ORD100115,2025-08-09,2025-08-11,C1012,Customer 13,New,46-60,Female,Bhubaneswar,Odisha,East,Executive 14,P1177,Sports,Yoga Mat,Yoga Mat Model 1,13462,7,40,56540.4,79979.93,-23439.53,Net Banking,12,1,Yes
ORD100116,2025-06-15,2025-06-19,C1035,Customer 36,Returning,46-60,Female,Kochi,Kerala,South,Executive 15,P1137,Grocery,Snacks,Snacks Model 1,22534,9,25,152104.5,163084.59,-10980.09,Cash,10,4,Yes
